Course Code,Course,Institution,Level,Topic,Participant,Pre,Post,Difference,Pre Duration (seconds),Post Duration (seconds)
S19_FS,Mol_Biotech_S26,PUI,upper,Molecular Biotechnology,149,5,4,-1,882,433
S19_FS,Mol_Biotech_S27,PUI,upper,Molecular Biotechnology,150,8.5,7.5,-1,747,658
S19_UNO,Virology,1R,upper,Virology,151,7.5,8.5,1,3152,776
S19_UNO,Virology,1R,upper,Virology,152,2,10,8,229,4900
S19_UNO,Virology,1R,upper,Virology,153,2,9,7,265,429
S19_UNO,Virology,1R,upper,Virology,154,4.5,6.5,2,969,1302
S19_UNO,Virology,1R,upper,Virology,155,4.5,9,4.5,689,899
S19_UNO,Virology,1R,upper,Virology,156,9.5,5,-4.5,1252,754
S19_UNO,Virology,1R,upper,Virology,157,6,11.5,5.5,713,752
S19_UNO,Virology,1R,upper,Virology,158,3,7.5,4.5,908,582
S19_UNO,Virology,1R,upper,Virology,159,11,11,0,3904,720
S19_UNO,Virology,1R,upper,Virology,160,1,7,6,1747,594
S19_UNO,Virology,1R,upper,Virology,161,8,11.5,3.5,938,940
S19_UNO,Virology,1R,upper,Virology,162,7,7,0,660,1694
S19_UNO,Virology,1R,upper,Virology,163,5,6.5,1.5,705,666
S19_UNO,Virology,1R,upper,Virology,164,8.5,10,1.5,1466,967
S19_UNO,Virology,1R,upper,Virology,165,2.5,7.5,5,647,599
S19_UNO,Virology,1R,upper,Virology,166,4,8.5,4.5,348,822
S19_UNO,Virology,1R,upper,Virology,167,6.5,9,2.5,622,691
S19_UNO,Virology,1R,upper,Virology,168,5,5.5,0.5,550,296
S19_UNO,Virology,1R,upper,Virology,169,5,9.5,4.5,493,1719
S19_UNO,Virology,1R,upper,Virology,170,7,12.5,5.5,846,34694
S19_UNO,Virology,1R,upper,Virology,171,9,12.5,3.5,2631,2310
S19_UNO,Virology,1R,upper,Virology,172,8,12.5,4.5,938,1471
S19_UNO,Virology,1R,upper,Virology,173,5,9,4,360,1099
S19_UNO,Virology,1R,upper,Virology,174,9,9,0,709,2287
S19_UNO,Virology,1R,upper,Virology,175,3.5,8.5,5,688,497
S20_FS,Mol_Biotech_S20,PUI,upper,Molecular Biotechnology,176,4.5,7,2.5,1074,1192
S20_FS,Mol_Biotech_S21,PUI,upper,Molecular Biotechnology,177,6.5,3.5,-3,765,461
S20_FS,Mol_Biotech_S22,PUI,upper,Molecular Biotechnology,178,5,5,0,1145,329
S20_FS,Mol_Biotech_S23,PUI,upper,Molecular Biotechnology,179,1.5,6.5,5,431,574
S20_FS,Mol_Biotech_S24,PUI,upper,Molecular Biotechnology,180,9.5,10,0.5,1019,947
S20_FS,Mol_Biotech_S25,PUI,upper,Molecular Biotechnology,181,0.5,3,2.5,4878,29281
S20_FS,Mol_Biotech_S26,PUI,upper,Molecular Biotechnology,182,1.5,6.5,5,361,445
S20_FS,Mol_Biotech_S27,PUI,upper,Molecular Biotechnology,183,3.5,11.5,8,1427,1143
S20_FS,Mol_Biotech_S28,PUI,upper,Molecular Biotechnology,184,1.5,5,3.5,1221,799
S20_FS,Mol_Biotech_S29,PUI,upper,Molecular Biotechnology,185,6,7,1,717,686
S20_FS,Mol_Biotech_S30,PUI,upper,Molecular Biotechnology,186,1.5,5.5,4,104,765
S20_FS,Mol_Biotech_S31,PUI,upper,Molecular Biotechnology,187,3.5,3,-0.5,296,339
S20_FS,Mol_Biotech_S32,PUI,upper,Molecular Biotechnology,188,2,2,0,816,485
S20_FS,Mol_Biotech_S33,PUI,upper,Molecular Biotechnology,189,3,4,1,937,293
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,190,2,6.5,4.5,502,716
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,191,6,8,2,100,1051
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,192,2.5,5,2.5,85,633
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,193,3,5,2,583,443
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,194,4,8,4,470,434
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,195,4,7,3,609,230
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,196,3,1,-2,482,132
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,197,5.5,10.5,5,571,639
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,198,1.5,2.5,1,149,452200
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,199,4,5,1,639,428
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,200,4,5,1,498,534
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,201,6.5,8,1.5,380,387
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,202,3,5.5,2.5,2238,618
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,203,3,0,-3,215,256
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,204,2,5.5,3.5,419,752
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,205,4,8,4,504,824
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,206,7.5,7,-0.5,692,386
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,207,5,6,1,423,545
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,208,2.5,3,0.5,519,282
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,209,3.5,5,1.5,10752,367
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,210,1.5,5,3.5,443,669
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,211,2,7.5,5.5,253,362
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,212,5,8,3,1621,348
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,213,4,3,-1,566,306
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,214,4,4,0,469,392
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,215,5,8.5,3.5,676,493
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,216,1.5,4.5,3,958,279
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,217,4,5.5,1.5,580,565
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,218,2,3,1,2157,313
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,219,6.5,8.5,2,56012,513
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,220,2.5,12,9.5,39461,29956
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,221,6,7,1,721,1033
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,222,5.5,5.5,0,348,448
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,223,5,7,2,360,442
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,224,1,6,5,539,665
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,225,9.5,8,-1.5,740,445
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,226,4,8.5,4.5,389,747
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,227,1.5,5,3.5,228,283
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,228,6,8,2,5993,1063
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,229,3.5,6.5,3,479,358
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,230,6,5.5,-0.5,8247,621
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,231,6,6,0,5030,551
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,232,4,7,3,555,638
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,233,3,8,5,437,555
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,234,2.5,9.5,7,513,338
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,235,1,3.5,2.5,410,609
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,236,3.5,9.5,6,697,1112
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,237,9.5,6.5,-3,425,369
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,238,1.5,5.5,4,236,485
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,239,2,6,4,631,2721
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,240,3,1.5,-1.5,351,132
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,241,2,4.5,2.5,8507,318
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,242,7,7,0,673,425
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,243,4,3,-1,517,99
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,244,7,8,1,625,348
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,245,2,6.5,4.5,503,618
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,246,4,7,3,76851,359
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,247,3,3,0,689,515
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,248,3,8,5,410,593
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,249,4.5,4.5,0,76263,623
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,250,6.5,6,-0.5,514,715
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,251,2,4,2,858,682
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,252,5,4,-1,414,161
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,253,6,7,1,1383,603
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,254,2.5,4,1.5,704,328
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,255,5,6,1,404,471
